Date,ZHVI
2016-05-31,141558.00629028026
2016-06-30,142474.5983760047
2016-07-31,143359.7703353689
2016-08-31,144394.1506875857
2016-09-30,145522.20210514226
2016-10-31,146955.10383692905
2016-11-30,148522.06678810518
2016-12-31,149617.98850636315
2017-01-31,150383.70945818914
2017-02-28,150988.0873497235
2017-03-31,151959.5283841303
2017-04-30,153287.4856053724
2017-05-31,154595.76319651701
2017-06-30,156193.7365541353
2017-07-31,157706.75414153715
2017-08-31,159420.18262786287
2017-09-30,161225.40188887378
2017-10-31,163037.00210135896
2017-11-30,164818.11265124808
2017-12-31,166228.39688459306
2018-01-31,167339.3597507984
2018-02-28,168201.10042099786
2018-03-31,168991.6397560888
2018-04-30,169406.48924227917
2018-05-31,169822.7297858715
2018-06-30,170165.111946478
2018-07-31,171085.66513097342
2018-08-31,172120.99140429194
2018-09-30,173388.74508153019
2018-10-31,174590.92582346077
2018-11-30,175995.01418795637
2018-12-31,177690.83549775206
2019-01-31,179767.35997912983
2019-02-28,181676.16950184116
2019-03-31,183273.59504275318
2019-04-30,184229.06853924473
2019-05-31,184831.46567766453
2019-06-30,185247.31245007852
2019-07-31,185881.792206172
2019-08-31,186787.54482754212
2019-09-30,187611.05684424206
2019-10-31,188624.27247182312
2019-11-30,189742.20680648414
2019-12-31,191175.71993414767
2020-01-31,192821.27754201577
2020-02-29,194474.8315042747
2020-03-31,196165.4427695543
2020-04-30,197397.09194383307
2020-05-31,198300.2488502748
2020-06-30,199110.06608585818
2020-07-31,200396.06421029163
2020-08-31,202466.97370058493
2020-09-30,205290.86425537834
2020-10-31,208670.39946050267
2020-11-30,212291.95909160664
2020-12-31,216301.33761767417
2021-01-31,220784.7971954242
2021-02-28,225755.17489681384
2021-03-31,230613.27482193173
2021-04-30,234828.87985408926
2021-05-31,239117.87285093367
2021-06-30,243371.84842352985
2021-07-31,247403.394860013
2021-08-31,250398.3958445387
2021-09-30,252854.98005300388
2021-10-31,255667.16163002976
2021-11-30,259400.26160935583
2021-12-31,263836.80413699045
2022-01-31,270108.3156803882
2022-02-28,277398.6470029722
2022-03-31,285228.5706748394
2022-04-30,292216.0877560164
2022-05-31,297894.9741538768
2022-06-30,302955.48641191405
2022-07-31,306076.0303391266
2022-08-31,307632.1980939154
2022-09-30,307335.2894915533
2022-10-31,306593.03187887004
2022-11-30,305601.0414647481
2022-12-31,304652.3331485612
2023-01-31,303680.43052855745
2023-02-28,303280.6573292185
2023-03-31,303531.8541484733
2023-04-30,304248.86336117075
2023-05-31,305183.2332417801
2023-06-30,306032.9294404368
2023-07-31,306798.5905359503
2023-08-31,307737.96832118457
2023-09-30,308453.25226581615
2023-10-31,309215.27085748455
2023-11-30,309472.14529082563
2023-12-31,310015.3212085587
2024-01-31,310425.1457932239
2024-02-29,311184.99268504704
2024-03-31,312305.6796893339
2024-04-30,313603.164115461
2024-05-31,314997.4632143678
2024-06-30,315866.39317093184
2024-07-31,316558.4587257575
2024-08-31,316742.55363272637
